    Magnitude  latitude  longitude                                         country                             time
0        5.20   35.0003    -3.8945                                         Morocco 2023-01-07 08:12:28.146000+00:00
1        5.90  -24.7533  -179.9480                       south of the Fiji Islands 2023-01-06 11:52:37.947000+00:00
2        5.10  -58.6281   -23.3419                   South Sandwich Islands region 2023-01-06 05:04:38.962000+00:00
3        5.30   14.3045   -94.0854  160 km SW of La Esperanza (El Zapotal), Mexico 2023-01-05 15:27:38.782000+00:00
4        5.90   36.4922    70.7018                                     Afghanistan 2023-01-05 14:25:52.522000+00:00
5        5.30  -14.9683   166.8464                                         Vanuatu 2023-01-05 07:00:46.788000+00:00
6        5.10  -19.1854   -69.0573                                           Chile 2023-01-04 23:23:46.578000+00:00
7        5.30   -2.5151   140.7749                                       Indonesia 2023-01-04 12:16:59.005000+00:00
8        5.40   53.9007   -35.0302                                 Reykjanes Ridge 2023-01-04 02:07:59.872000+00:00
9        5.40    0.0640   169.9680                Gilbert Islands, Kiribati region 2023-01-04 02:02:10.862000+00:00
10       5.00  -57.7963   -25.0813                   South Sandwich Islands region 2023-01-03 23:58:42.476000+00:00
11       5.30  -57.7664   -25.3937                   South Sandwich Islands region 2023-01-03 21:52:09.138000+00:00
12       5.50    0.8166   -29.2224                                          Brazil 2023-01-03 18:19:25.469000+00:00
13       5.00   -2.4596   140.7484                                       Indonesia 2023-01-03 17:55:44.573000+00:00
14       5.00  -37.6596   175.6883                                     New Zealand 2023-01-03 16:39:23.299000+00:00
15       5.60  -65.4652   178.6489                          Balleny Islands region 2023-01-03 14:53:33.801000+00:00
16       5.50  -65.1655   179.3145                          Balleny Islands region 2023-01-03 13:09:08.196000+00:00
17       5.10   -2.4701   140.9095                                       Indonesia 2023-01-03 12:55:32.361000+00:00
18       5.00   10.3339   125.9109                  37 km E of Loreto, Philippines 2023-01-03 11:43:10.310000+00:00
19       5.10   40.2638   142.5972                       88 km NE of Miyako, Japan 2023-01-03 07:08:36.916000+00:00
20       5.20   31.1405   141.8686                       Izu Islands, Japan region 2023-01-02 23:01:13.479000+00:00
21       5.20    8.4288   126.9386             63 km ENE of Barcelona, Philippines 2023-01-02 22:09:37.535000+00:00
22       4.90   40.5488   -29.2836   195 km NW of Santa Cruz da Graciosa, Portugal 2023-01-02 21:37:26.133000+00:00
23       5.40   45.9714   150.8084                  243 km ENE of Kuril’sk, Russia 2023-01-02 18:22:45.093000+00:00
24       5.10    5.4736    97.1091               32 km N of Lhokseumawe, Indonesia 2023-01-02 10:39:59.892000+00:00
25       5.30   40.4442   -29.3723    185 km NE of Santa Cruz das Flores, Portugal 2023-01-02 07:20:27.157000+00:00
26       5.35   40.4090  -123.9710                                   United States 2023-01-01 18:35:04.510000+00:00
27       5.80  -55.8357  -123.8104                      southern East Pacific Rise 2023-01-01 18:26:43.434000+00:00
28       5.40   -2.5692   140.8021                                       Indonesia 2023-01-01 18:24:34.020000+00:00
29       5.30  -25.1974   178.5519                       south of the Fiji Islands 2023-01-01 16:24:26.828000+00:00
